"ID","n_victimas","tipo_de_calle","calle","altura","cruce","dirección_normalizada","comuna","lon","lat","participantes","victima","acusado","fecha_hora","es_cruce"
"2016-0173",1,"AVENIDA","DIRECTORIO AV.","ESQ","SAN PEDRITO AV.","DIRECTORIO AV. y SAN PEDRITO AV.",7.0,-58.46749188,-34.63551751,"MOTO-CARGAS","MOTO","CARGAS","2016-12-26 19:52:00","Esquina"
"2016-0175",1,"CALLE","FALCON, RAMON L.,CNEL.","ESQ","MEMBRILLAR","FALCON, RAMON L.,CNEL. y MEMBRILLAR",7.0,-58.46064174,-34.62960517,"PEATON-BICICLETA","PEATON","BICICLETA","2016-12-27 08:15:00","Esquina"
"2016-0176",1,"AVENIDA","BELGRANO AV.","ESQ","PASEO COLON AV.","BELGRANO AV. y PASEO COLON AV.",1.0,-58.36956186,-34.61232875,"MOTO-PASAJEROS","MOTO","PASAJEROS","2016-12-28 01:41:00","Esquina"
"2016-0177",1,"CALLE","ARENALES","3319","NA","ARENALES 3319",14.0,-58.40966671,-34.58788235,"PEATON-AUTO","PEATON","AUTO","2016-12-29 04:00:00","Calle"
"2016-0178",1,"CALLE","REPUBLICA BOLIVARIANA DE VENEZUELA","ESQ","SAAVEDRA","REPUBLICA BOLIVARIANA DE VENEZUELA y SAAVEDRA",3.0,-58.40288226,-34.61544091,"MULTIPLE","PEATON","MULTIPLE","2016-12-30 16:18:00","Esquina"
"2017-0001",1,"AVENIDA","JUSTO, JUAN B. AV.","ESQ","ACHUPALLAS","JUSTO, JUAN B. AV. y ACHUPALLAS",11.0,-58.4659423,-34.61028571,"MOTO-CARGAS","MOTO","CARGAS","2017-01-02 01:00:00","Esquina"
"2017-0003",1,"AVENIDA","OLAVARRIA","ESQ","VELEZ SARSFIELD AV.","OLAVARRIA y VELEZ SARSFIELD AV.",4.0,-58.38957669,-34.64410277,"CARGAS-CARGAS","CARGAS","CARGAS","2017-01-05 03:10:00","Esquina"
"2017-0007",1,"CALLE","LIMA","ESQ","MEXICO","LIMA y MEXICO",1.0,-58.3816166,-34.61529543,"MULTIPLE","PEATON","MULTIPLE","2017-01-11 17:00:00","Esquina"
"2017-0008",1,"CALLE","CABRERA, JOSE A.","ESQ","BONPLAND","CABRERA, JOSE A. y BONPLAND",14.0,-58.43917004,-34.58494351,"MOTO-PASAJEROS","MOTO","PASAJEROS","2017-01-16 00:40:00","Esquina"
"2017-0009",1,"AUTOPISTA","AUTOPISTA 25 DE MAYO","ESQ","NA","AUTOPISTA 25 DE MAYO y BOEDO AV.",5.0,-58.41595919,-34.62743346,"MOTO-CARGAS","MOTO","CARGAS","2017-01-16 13:56:00","Calle"
"2017-0010",1,"AVENIDA","DIRECTORIO AV.","ESQ","RIGLOS","DIRECTORIO AV. y RIGLOS",6.0,-58.4356488,-34.62828656,"MOTO-AUTO","MOTO","AUTO","2017-01-16 16:30:00","Esquina"
"2017-0011",1,"GRAL PAZ","PAZ, GRAL. AV.","ESQ","BALBIN, RICARDO, DR. AV.","PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",12.0,-58.5007381,-34.5497951,"MOTO-OBJETO FIJO","MOTO","OBJETO FIJO","2017-01-22 02:30:00","Esquina"
"2017-0012",1,"CALLE","TRAFUL","ESQ","TABORDA, DIOGENES","TRAFUL y TABORDA, DIOGENES",4.0,-58.40969005,-34.6505529,"MOTO-CARGAS","MOTO","CARGAS","2017-01-24 14:00:00","Esquina"
"2017-0013",1,"AVENIDA","IRIARTE, GRAL. AV.","3055","NA","IRIARTE, GRAL. AV. 3055",4.0,-58.38972622,-34.65098981,"PEATON-CARGAS","PEATON","CARGAS","2017-01-27 07:00:00","Calle"
"2017-0014",1,"AVENIDA","DONADO","ESQ","ARIAS","DONADO y ARIAS",12.0,-58.49185972,-34.55046754,"MULTIPLE","MOTO","MULTIPLE","2017-01-28 08:27:34","Esquina"
